Abacion magnum
Achaea janata
Achlya klebsiana
Acholeplasma laidlawii
Achirus lineatus
Achromobacter lyticus
Acheilognathus macropterus
Achalinus meiguensis
Achillea millefolium
Achromobacter obae
Achondrostoma oligolepis
Acholeplasma palmae
Acharia tragodes
Achlys triphylla
Achromobacter xylosoxidans
Acidipropionibacterium acidipropionici
Acidovorax citrulli
Acinetobacter baylyi
Acidianus ambivalens
Acidiphilium acidophilum
Acidovorax avenae
Aciphylla aurea
Acinetobacter baumannii
Aciduliprofundum boonei
Acipenser baerii
Acipenser brevirostrum
Acinetobacter bereziniae
Acidothermus cellulolyticus
Acidobacterium capsulatum
Acinetobacter calcoaceticus
Acineta chrysantha
Acidiphilium cryptum
Acidithiobacillus caldus
Acinetospora crinita
Acipenser dabryanus
Acidovorax delafieldii
Acidovorax ebreus
Acidithiobacillus ferrooxidans
Acidocella facilis
Acidimicrobium ferrooxidans
Acidaminococcus fermentans
Acipenser fulvescens
Acinetobacter guillouiae
Acinetobacter glutaminasificans
Acipenser gueldenstaedtii
Acinetobacter haemolyticus
Acidianus hospitalis
Acidianus infernus
Acidaminococcus intestini
Acinonyx jubatus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acidiphilium multivorum
Acipenser medirostris
Acipenser mikadoi
Acidomonas methanolica
Acipenser naccarii
Acinetobacter nosocomialis
Acipenser nudiventris
Acidiphilium organovorum
Acipenser oxyrinchus
Acisoma panorpoides
Acipenser persicus
Acinetobacter pittii
Acinetobacter radioresistens
Acipenser ruthenus
Acidiphilium rubrum
Acidilobus saccharovorans
Acipenser schrenckii
Acinetobacter oleivorans
Acipenser sinensis
Acilius sulcatus
Acipenser stellatus
Acipenser sturio
Acidithiobacillus thiooxidans
Acipenser transmontanus
Acizzia uncatoides
Acinetobacter venetianus
Aclytia heber
Acmispon americanus
Acmaea mitra
Acmella radicans
Acorus americanus
Acosmeryx anceus
Acomys cahirinus
Acossus centerensis
Acorus calamus
Aconitum carmichaelii
Aconitum coreanum
Acontias cregoi
Acorus gramineus
Acomys ignitus
Acontias lineatus
Acontia lucida
Acontias meleagris
Acomys minous
Aconitum napellus
Acontias orientalis
Acontias percivali
Acomys percivali
Acontias rieppeli
Acomys russatus
Acontias tristis
Acomys wilsoni
Acoelorraphe wrightii
Acronychia acidula
Acrocomia aculeata
Acropora aspera
Acrocephalus arundinaceus
Acrolepiopsis assectella
Acrosiphonia arcta
Acrostichum aureum
Acrocephalus brevipennis
Acremonium chrysogenum
Acroneuria carolinensis
Acropora cervicornis
Acrida cinerea
Acridotheres cristatellus
Acronicta dactylina
Acropora digitifera
Acropora donei
Acrantophis dumerili
Acromyrmex echinatior
Acremonium egyptiacum
Acrossocheilus fasciatus
Acropora formosa
Acrochordus granulatus
Acrosternum hilare
Acropora humilis
Acrochordus javanicus
Acropoma japonicum
Acrocinus longimanus
Acropora loripes
Acrantophis madagascariensis
Acrocephalus mendanae
Acropora millepora
Acropora nasuta
Acrocephalus orinus
Acrocephalus orientalis
Acrocephalus paludicola
Acrossocheilus paradoxus
Acropora palmata
Acropora prolifera
Acritoscincus platynotus
Acrobates pygmaeus
Acropora robusta
Acrasis rosea
Acrocephalus scirpaceus
Acrosiphonia sonderi
Acrocephalus stentoreus
Acroclita subsequana
Acrossidius tasmaniae
Acropora tenuis
Acreichthys tomentosus
Acropora valida
Acryllium vulturinum
Acrida willemsei
Acratocnus ye
Actophilornis africanus
Actinidia arguta
Actinia bermudensis
Actinobacillus capsulatus
Actinidia chinensis
Actinodium cunninghamii
Actinoalloteichus cyanogriseus
Actinidia deliciosa
Actinopyga echinites
Actinia equina
Actinidia eriantha
Actinobacillus equuli
Actinia fragacea
Actinoplanes garbadinensis
Actinopolyspora halophila
Actinotus helianthi
Actitis hypoleucos
Actinomadura kijaniata
Actinoplanes liguriensis
Actinobacillus lignieresii
Actias luna
Actinoplanes missouriensis
Actitis macularius
Actinosynnema mirum
Actinemys marmorata
Actinomyces naeslundii
Actinomadura namibiensis
Actinobacillus pleuropneumoniae
Actaea racemosa
Actinomyces radicidentis
Actinobacillus succinogenes
Actinopyga spinea
Actinobacillus suis
Actinia tenebrosa
Actinoplanes teichomyceticus
Actinoplanes utahensis
Actinomyces viscosus
Actineria villosa
Acuticosta chinensis
Acutisoma longipes
Acyrthosiphon kondoi
Acyrthosiphon magnoliae
Acyrthosiphon pisum
Acytolepis puspa
Acytostelium subglobosum
Adalia bipunctata
Adalia decempunctata
Adansonia digitata
Adansonia gregorii
Adansonia grandidieri
Adamsia palliata
Adansonia rubrostipa
Adansonia za
Addax nasomaculatus
Adenostyles alpina
Adenomera andreae
Adelpha bredowii
Adelpha californica
Adelges cooleyi
Adenia digitata
Adenostoma fasciculatum
Adenia gummifera
Adenocaulon himalaicum
Adenomera hylaedactyla
Adenophorus hymenophylloides
Adesmia lanata
Adelphocoris lineolatus
Adelges laricis
Adenomera marmorata
Adelomyia melanogenys
Adenium obesum
Adenanthos obovatus
Adenanthera pavonina
Adenophorus periens
Adenophorus pinnatifidus
Adelieledone polymorpha
Adenanthos sericeus
Adenophorus tripinnatifidus
Adelges tsugae
Adenandra uniflora
Adenia volkensii
Adhemarius gannascus
Adisura bella
Adiantum capillus-veneris
Adipicola crypta
Adineta gracilis
Adipicola iwaotakii
Adiantum malesianum
Adiantum pedatum
Adiantum raddianum
Adineta ricciae
Adineta vaga
Adolphia californica
Adoxophyes honmai
Adoxa moschatellina
Adoxophyes orana
Adonis vernalis
Advenella kashmirensis
Aechmophorus clarkii
Aechmophorus occidentalis
Aedes aegypti
Aedes albopictus
Aedes cinereus
Aedes furcifer
Aedes japonicus
Aedes krombeini
Aedes luteocephalus
Aedes malayensis
Aedes novalbopictus
Aedes polynesiensis
Aedes pseudoscutellaris
Aedes taylori
Aedes togoi
Aedes vexans
Aedes vittatus
Aedes w-albus
Aegolius acadicus
Aegla alacalufi
Aegialia arenaria
Aegilops bicornis
Aegithalos bonvaloti
Aegithalos caudatus
Aegotheles cristatus
Aegilops comosa
Aegithalos concinnus
Aegilops columnaris
Aegilops crassa
Aegilops cylindrica
Aegista diversifamilia
Aegithalos fuliginosus
Aegolius funereus
Aegithalos glaucogularis
Aegolius harrisii
Aegotheles insignis
Aegilops longissima
Aegle marmelos
Aegypius monachus
Aegopodium podagraria
Aegyptianella pullorum
Aegotheles savesi
Aegilops searsii
Aegilops speltoides
Aegilops tauschii
Aegithina tiphia
Aegilops triuncialis
Aegilops umbellulata
Aegilops uniaristata
Aegilops ventricosa
Aelurostrongylus abstrusus
Aeluroscalabotes felinus
Aenictus aratus
Aenigmarchaeum subterraneum
Aeolothrips albicinctus
Aeolidia papillosa
Aeoloplides turnbulli
Aepypodius arfakianus
Aepyceros melampus
Aepyprymnus rufescens
Aequipecten opercularis
Aequorivita sublithincola
Aequidens tetramerus
Aequorea victoria
Aeromonas caviae
Aeromonas enteropelogenes
Aeromicrobium erythreum
Aeria eurimedia
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas media
Aeropyrum pernix
Aeranthes ramosa
Aeromonas salmonicida
Aeromonas sobria
Aeronautes saxatalis
Aerococcus urinae
Aeromonas veronii
Aerodramus vulcanorum
Aeshna cyanea
Aesculus hippocastanum
Aesculus pavia
Aethalops alecto
Aethionema cordifolium
Aethia cristatella
Aethusa cynapium
Aetobatus flagellum
Aethionema grandiflorum
Aetobatus narinari
Aethionema oppositifolium
Aethia psittacula
Aethia pusilla
Aethia pygmaea
Aethaloperca rogaa
Aethionema saxatile
Aethina tumida
Afipia felis
Afifella marina
Afropavo congensis
Afrocarpus gracilior
Afrogethes planiusculus
Agaricia agaricites
Agama aculeata
Agave attenuata
Agapanthus africanus
Agama agama
Agarivorans albus
Agave americana
Agalychnis annae
Agama atra
Agathis australis
Agaricus benesii
Agaricus bisporus
Agabus bipustulatus
Agave bracteosa
Agaricus bitorquis
Agaricus californicus
Agave celsii
Agarophyton chilensis
Agalychnis callidryas
Agaricus campestris
Agapornis canus
Agallia constricta
Agapanthus campanulatus
Agarum clathratum
Agathis dammara
Agalychnis dacnicolor
Agapornis fischeri
Agastache foeniculum
Agaricia fragilis
Agave ghiesbreghtii
Agaricia humilis
Agama impalearis
Agalychnis lemur
Agaricus lilaceps
Agapornis lilianae
Agastache mexicana
Agaraea minuta
Agathis montana
Agathis moorei
Agapornis nigrigenis
Agastachys odorata
Agave parviflora
Agaricus placomyces
Agapornis personatus
Agama planiceps
Agapanthus praecox
Agapornis pullarius
Agathis robusta
Agapornis roseicollis
Agastache rugosa
Agathobacter rectalis
Agassizia scrobiculata
Agalychnis spurrelli
Agaricus subrutilescens
Agapornis taranta
Agave tequilana
Agarophyton tenuistipitatum
Agama tassiliensis
Agaricus xanthodermus
Agelastica alni
Agelenopsis aperta
Ageratina altissima
Agelaioides badius
Agelas clathrodes
Ageratum conyzoides
Agelas conifera
Agelasticus cyanopus
Agelas dispar
Ageratum houstonianum
Agelaius humeralis
Agelena orientalis
Agelaius phoeniceus
Agelas schmidti
Agelasticus thilius
Agelaius tricolor
Agelaius xanthomus
Agelasticus xanthophthalmus
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Agkistrodon bilineatus
Aglaophamus australiensis
Aglaeactis cupripennis
Aglaiocercus kingii
Aglais milberti
Aglaothamnion neglectum
Aglaothamnion tripinnatum
Aglais urticae
Agonis flexuosa
Agonostomus monticola
Agonum nigrum
Agrocybe aegerita
Agrostis alba
Agrostis capillaris
Agrius cingulata
Agrius convolvuli
Agropyron cristatum
Agrocybe cylindracea
Agriosphodrus dohrni
Agrocybe erebia
Agrobacterium fabrum
Agromyza frontella
Agrostemma githago
Agrotis ipsilon
Agriotes lineatus
Agromyces mediolanus
Agriornis micropterus
Agrimonia parviflora
Agrilus planipennis
Agriocnemis pygmaea
Agrobacterium rhizogenes
Agrobacterium radiobacter
Agriphila ruricolella
Agrotis segetum
Agrostis stolonifera
Agrobacterium tumefaciens
Agraulis vanillae
Agrobacterium vitis
Agylla argentifera
Agylla asra
Aigialus parvus
Ailanthus altissima
Ailurus fulgens
Ailuropoda melanoleuca
Ailurops ursinus
Aimophila ruficeps
Aiptasia diaphana
Aipysurus laevis
Aix galericulata
Aix sponsa
Ajellomyces capsulatus
Ajellomyces dermatitidis
Ajuga chamaepitys
Ajuga reptans
Akania bidwillii
Akebia quinata
Akkesiphycus lubricum
Akkermansia muciniphila
Akodon aerosus
Akodon affinis
Akodon albiventer
Akodon azarae
Akodon boliviensis
Akodon budini
Akodon cursor
Akodon dayi
Akodon dolores
Akodon fumeus
Akodon iniscatus
Akodon juninensis
Akodon kofordi
Akodon lindberghi
Akodon mimus
Akodon molinae
Akodon montensis
Akodon mollis
Akodon mystax
Akodon orophilus
Akodon paranaensis
Akodon philipmyersi
Akodon reigi
Akodon serrensis
Akodon siberiae
Akodon spegazzinii
Akodon subfuscus
Akodon toba
Akodon torques
Alabama argillacea
Alauda arvensis
Alangium chinense
Alaria esculenta
Alasmidonta heterodon
Alasmidonta marginata
Alaria marginata
Albuca bracteata
Albinaria caerulea
Albizia julibrissin
Albizia kalkora
Albuca setosa
Albinaria turrita
Albifimbria verrucaria
Alcithoe aillaudorum
Alcedo atthis
Alcanivorax borkumensis
Alcelaphus buselaphus
Alcanivorax dieselolei
Alcaligenes faecalis
Alcaligenes hydrogenophilus
Alcelaphus lichtensteinii
Alca torda
Alcithoe wilsonae
Aldrichetta forsteri
Aldabrachelys gigantea
Alderia modesta
Alderia willowi
Aleurochiton aceris
Alectrias alectrolophus
Alepocephalus agassizii
Alectis alexandrina
Alepidocline annua
Alepocephalus australis
Aleuria aurantia
Alepocephalus bairdii
Alepocephalus bicolor
Alexandrium catenella
Alectoris chukar
Alectis ciliaris
Aleurocanthus camelliae
Alexandrium cohorticula
Alepes djedaba
Aleurodicus dugesii
Aletris farinosa
Alexandrium fundyense
Alectoris graeca
Alectis indica
Alectura lathami
Alexandrium minutum
Aleuroglyphus ovatus
Alepocephalus productus
Alexfloydia repens
Alectoris rufa
Alectra sessiliflora
Aleurocanthus spiniferus
Alexandrium tamarense
Alepocephalus tenebrosus
Alebra thoracica
Alepocephalus umbriceps
Algansea tincella
Alicyclobacillus acidocaldarius
Alicyclobacillus acidoterrestris
Alisma canaliculatum
Aliatypus californicus
Alicycliphilus denitrificans
Aliivibrio fischeri
Alistipes finegoldii
Aliatypus janus
Aliivibrio logei
Alionycteris paucidentata
Alisma plantago-aquatica
Alicia sansibarensis
Aliivibrio salmonicida
Alitta succinea
Aliatypus thompsoni
Alitta virens
Alkalihalobacillus alcalophilus
Alkalimonas amylolytica
Alkalihalobacillus clausii
Alkalilimnicola ehrlichii
Alkalihalobacillus halodurans
Alkaliphilus metalliredigens
Alkekengi officinarum
Alkaliphilus oremlandii
Alkalihalobacillus pseudofirmus
Allagoptera arenaria
Alle alle
Allomyces arbusculus
Allamanda cathartica
Allium cepa
Allophylus cobbe
Allagoptera caudescens
Allactaga elater
Allotria elonympha
Allobates femoralis
Allium fistulosum
Alloxylon flammeum
Allobates granti
Allium haematochiton
Allionia incarnata
Allochrocebus lhoesti
Allomyces macrogynus
Alligator mississippiensis
Allocyttus niger
Allenopithecus nigroviridis
Allograpta obliqua
Allenrolfea occidentalis
Allagelena opulenta
Alliaria petiolata
Allium porrum
Alluaudia procera
Allochrocebus preussi
Allium sativum
Alloispermum scabrifolium
Allium schoenoprasum
Alloteropsis semialata
Alligator sinensis
Allochrocebus solatus
Alloteuthis subulata
Allobates talamancae
Allium textile
Allosyncarpia ternata
Allocebus trichotis
Allium tuberosum
Allium ursinum
Allochromatium vinosum
Allochromatium warmingii
Alloxylon wickhamii
Alnus glutinosa
Alnus incana
Alnus maritima
Alnus viridis
Alopochen aegyptiaca
Alopoglossus angulatus
Aloe arborescens
Alouatta belzebul
Alouatta caraya
Aloe ferox
Aloe glauca
Alouatta guariba
Alopecoenas jobiensis
Alocasia macrorrhizos
Aloe maculata
Alonsoa meridionalis
Alopecosa marikovskyi
Alopecurus myosuroides
Alouatta palliata
Alouatta pigra
Alopecurus pratensis
Alouatta sara
Alouatta seniculus
Alosa sapidissima
Alonsoa unilabiata
Alophia veracruzana
Aloe vera
Alopias vulpinus
Alpheus angulosus
Alpheus armillatus
Alpheus bouvieri
Alpinia calcarata
Alpheus colombiensis
Alpheus cristulifrons
Alpheus cylindricus
Alphitobius diaperinus
Alpheus digitalis
Alpheus djeddensis
Alpheus estuariensis
Alpheus formosus
Alpinia galanga
Alpheus lottini
Alpheus malleator
Alpheus millsae
Alpheus nuttingi
Alpinia officinarum
Alpheus paracrinitus
Alpheus panamensis
Alpinia purpurata
Alpheus saxidomus
Alpheus schmitti
Alpheus simus
Alpheopsis trigonus
Alpheus umbo
Alpheus utriensis
Alpheus vanderbilti
Alpheus websteri
Alpinia zerumbet
Alstroemeria aurea
Alstroemeria inodora
Alstroemeria ligtu
Alstroemeria pelegrina
Alstroemeria psittacina
Alteromonas agarilytica
Alternaria alternata
Alternaria brassicicola
Alternaria botrytis
Alternanthera caracasana
Alternaria cinerariae
Altolamprologus calvus
Alteromonas macleodii
Alticola macrotis
Alteromonas mediterranea
Alteromonas naphthalenivorans
Althaea officinalis
Alternaria solani
Aluterus scriptus
Alvaradoa amorphoides
Alvikia littoralis
Alvinocaris lusca
Alytes cisternasii
Alyssum lesbiacum
Alyssum montanum
Alytes muletensis
Alytes obstetricans
Alyxia ruscifolia
Amazona aestiva
Amara apricaria
Amara aulica
Amaryllis belladonna
Amanita bisporigera
Amaranthus blitoides
Amazonetta brasiliensis
Amanita brunnescens
Amazilia beryllina
Amaranthus caudatus
Amauta cacica
Amarsipus carlsbergi
Amathia convoluta
Amaranthus cruentus
Amazilia cyanocephala
Amanita exitialis
Amazona farinosa
Amanita fuligineoides
Amanita fuliginea
Amaranthus greggii
Amaranthus hypochondriacus
Amaranthus hybridus
Amazophrynella minuta
Amanita muscaria
Amatitlania nigrofasciata
Amalda northlandica
Amanita ocreata
Amazona ochrocephala
Amaranthus palmeri
Amanita phalloides
Amanita pallidorosea
Amaranthus powellii
Amaranthus quitensis
Amaranthus retroflexus
Amanita rimosa
Amatitlania sajica
Amanita suballiacea
Amanses scopas
Amatitlania septemfasciata
Amazonsprattus scintilla
Amaranthus spinosus
Amandava subflava
Amaranthus tricolor
Amaranthus tuberculatus
Amazilia tzacatl
Amazona ventralis
Amaranthus viridis
Amanita virosa
Amazona vittata
Amazilia yucatanensis
Amburana acreana
Amblyomma americanum
Ambrosia artemisiifolia
Amblyglyphidodon aureus
Ambystoma californiense
Amburana cearensis
Amblypharyngodon chulabhornae
Amblyomma cajennense
Amblyrhynchus cristatus
Amblydoras gonzalezi
Ambystoma gracile
Amblycercus holosericeus
Amblysomus hottentotus
Amblyramphus holosericeus
Amblyraja hyperborea
Ambassis jacksoniensis
Ambystoma jeffersonianum
Ambystoma laterale
Ambesa laetella
Amblyornis macgregoriae
Ambystoma maculatum
Ambystoma mexicanum
Amblysomus marleyi
Ambystoma macrodactylum
Amblyomma maculatum
Ambystoma opacum
Amblyomma parvum
Amblygobius phalaena
Amblycirrhitus pinos
Amblema plicata
Ambrosia psilostachya
Amblyopappus pusillus
Amblyraja radiata
Ambloplites rupestris
Amblyeleotris steinitzi
Ambohima sublima
Amborella trichopoda
Ambystoma texanum
Ambystoma tigrinum
Ambrosia trifida
Amblyomma testudinarium
Amblyomma triste
Amblyomma variegatum
Amblyeleotris wheeleri
Ameiva ameiva
Amentotaxus argotaenia
Amelanchier bartramiana
Ameiurus catus
Ametrida centurio
Ameletus inopinatus
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Amesiella philippinensis
Aminobacter aminovorans
Aminomonas aminovorus
Amietia angolensis
Amia calva
Aminobacterium colombiense
Amischotolype monosperma
Ammophila arenaria
Ammothea carolinensis
Ammonifex degensii
Ammospermophilus harrisii
Ammothea hilgendorfi
Ammospermophilus insularis
Ammospermophilus interpres
Ammospiza leconteii
Ammotragus lervia
Ammospermophilus leucurus
Ammodramus maritimus
Ammi majus
Ammodramus savannarum
Amnirana albolabris
Amoebophilus asiaticus
Amorphophallus albus
Amorphophallus abyssinicus
Amoya chusanensis
Amolops chunganensis
Amomum glabrum
Amolops granulosus
Amolops jingdongensis
Amorphophallus konjac
Amolops loloensis
Amolops mantzorum
Amoebidium parasiticum
Amorphophallus paeoniifolius
Amoeba proteus
Amorphotheca resinae
Amolops ricketti
Amorphophallus titanum
Amoreuxia wrightii
Amolops wuyiensis
Amphilophus amarillo
Amphiagrion abbreviatum
Amphioctopus aegina
Amphibalanus amphitrite
Ampullaceana balthica
Amphispiza bilineata
Amphicarpaea bracteata
Amphidinium carterae
Amphilophus citrinellus
Amphiprion clarkii
Amphimedon compressa
Amphidinium corpulentum
Ampulex compressa
Amphibalanus eburneus
Amphicarpaea edgeworthii
Amphilonche elongata
Amphioctopus fangsiao
Amplexidiscus fenestrafer
Amphiprion frenatus
Amphisbaena fuliginosa
Amphisamytha galapagensis
Amphidinium herdmanii
Amphibalanus improvisus
Amphizoa insolens
Amphilophus labiatus
Amphizoa lecontei
Ampithoe longimana
Amphioctopus marginatus
Amphilophus macracanthus
Amphiuma means
Amphineurion marginatum
Amphibolurus muricatus
Amphiareus obscuriceps
Amphiprion ocellaris
Amphidinium operculatum
Amphiprion percula
Amphiprion polymnus
Amphiprion perideraion
Amphimedon queenslandica
Ampelomyces quisqualis
Ampelophaga rubiginosa
Amphiprion sandaracinos
Amphisbaena schmidti
Amphiprion sebae
Amphilophus sagittae
Amphipholis squamata
Ampithoe valida
Amphibacillus xylanus
Amsacta albistriga
Amsacta moorei
Amsonia tabernaemontana
Amycolatopsis balhimycina
Amyda cartilaginea
Amycolatopsis lactamdurans
Amycolatopsis mediterranei
Amycolatopsis methanolica
Amycolatopsis orientalis
Amylomyces rouxii
Amyelois transitella
Amynthas vittatus
Anartia amathea
Anaeroplasma abactoclasticum
Anas acuta
Anaxyrus americanus
Anacridium aegyptium
Anairetes alpinus
Anableps anableps
Anagallis arvensis
Anas aucklandica
Anas bahamensis
Anas bernieri
Anaxyrus boreas
Anadara broughtonii
Anas capensis
Anabaena cylindrica
Anaerostipes caccae
Anaplasma centrale
Anaxyrus cognatus
Anas chlorotis
Ananas comosus
Anartia chrysopelea
Anas crecca
Anas castanea
Anania coronata
Anaxyrus canorus
Anastrepha curvicauda
Anaeromyxobacter dehalogenans
Anas erythrorhyncha
Anagrapha falcifera
Anairetes flavirostris
Anartia fatima
Anas fulvigula
Anas flavirostris
Anabarilius grahami
Anas georgica
Anas gibberifrons
Anas gracilis
Anaerostipes hadrus
Anax imperator
Anadara inaequivalvis
Anartia jatrophae
Anax junius
Anas laysanensis
Anacolia laevisphaera
Anarhichas lupus
Anas luzonica
Anaplasma marginale
Ananas macrodontes
Anas melleri
Anarhichas minor
Anaphalis margaritacea
Anas nesiotis
Anacardium occidentale
Anaerococcus prevotii
Anaplasma phagocytophilum
Anaerotignum propionicum
Anas platyrhynchos
Anas puna
Anas poecilorhyncha
Anax parthenope
Anairetes parulus
Anaxyrus punctatus
Anaxyrus retiformis
Anas rubripes
Anas sparsa
Anaerosporomusa subterranea
Anas superciliosa
Anabrus simplex
Anaerobiospirillum succiniciproducens
Anabas testudineus
Anasa tristis
Anadara trapezia
Anania tertialis
Anaerolinea thermophila
Anas undulata
Anabaena variabilis
Anaxyrus woodhousii
Ancylobacter aquaticus
Ancylostoma caninum
Anchomanes difformis
Ancistrocladus korupensis
Anchusa officinalis
Androctonus amoreuxi
Androctonus australis
Andrena bicolor
Andrena cineraria
Andinoacara coeruleopunctatus
Androctonus crassicauda
Andrias davidianus
Andrena dunningi
Andalucia godoyi
Andryala integrifolia
Andrias japonicus
Andricus kollari
Androctonus mauritanicus
Andalgalomys olrogi
Andrographis paniculata
Andalgalomys pearsoni
Andromeda polifolia
Andinoacara pulcher
Andinoacara rivulatus
Andalgalomys roigi
Androsace septentrionalis
Andrena wilkella
Anemia adiantifolia
Aneurinibacillus aneurinilyticus
Anemarrhena asphodeloides
Anemone blanda
Anemonia erythraea
Anelosimus eximius
Anethum graveolens
Anemone hepatica
Anemone leveillei
Anemonia manjano
Anemia mexicana
Aneurinibacillus migulanus
Aneura mirabilis
Anemone multifida
Anemone nemorosa
Anemia phyllitidis
Aneura pinguis
Anemone quinquefolia
Anemonia sulcata
Aneurinibacillus thermoaerophilus
Anemonia viridis
Angelica acutiloba
Anguilla anguilla
Angelica archangelica
Anguilla australis
Angiostrongylus cantonensis
Angophora costata
Anguillicoloides crassus
Angiostrongylus costaricensis
Angraecum cultriforme
Anguilla dieffenbachii
Angraecum eburneum
Angraecum eichlerianum
Angiopteris evecta
Angophora floribunda
Anguis fragilis
Anguloa hohenlohii
Anguilla interioris
Anguilla japonica
Angiopteris lygodiifolia
Anguilla marmorata
Anguilla mossambica
Angiopteris palmiformis
Anguillicoloides papernai
Anguilla reinhardtii
Anguilla rostrata
Angraecum sesquipedale
Angiostrongylus vasorum
Anhinga anhinga
Anhinga novaehollandiae
Anisomorpha buprestoides
Anigozanthos flavidus
Anisognathus flavinuchus
Anicla infecta
Anisomys imitator
Anisothrix integra
Anisotremus interruptus
Anigozanthos manglesii
Anisosticta novemdecimpunctata
Anilius scytale
Anisakis simplex
Anisakis typica
Anisus vortex
Annona cherimola
Annona glabra
Annona mucosa
Annona muricata
Anniella pulchra
Annona reticulata
Annona senegalensis
Annona squamosa
Anopheles albitarsis
Anopheles albimanus
Anodonta anatina
Anopheles aquasalis
Anopheles arabiensis
Anomaloglossus baeobatrachus
Anomaloglossus beebei
Anomalocardia brasiliana
Anolis carolinensis
Anolis chrysolepis
Anoxypristis cuspidata
Anoplophora chinensis
Anoplogaster cornuta
Anomala cuprea
Anomala costata
Anoura caudifer
Anopheles darlingi
Anomalopteryx didiformis
Anoplocephaloides dentata
Anolis distichus
Anochetus emarginatus
Anolis equestris
Anoplopoma fimbria
Anopheles funestus
Anopheles freeborni
Anolis fuscoauratus
Anoxybacillus flavithermus
Anopheles gambiae
Anoplolepis gracilipes
Anoura geoffroy
Anoplophora glabripennis
Anorrhinus galeritus
Anodorhynchus hyacinthinus
Anomalops katoptron
